# Solver: SOR
# RadialSteps: 10
# AngularSteps: 50
# DeltaR: 3.000000000000e-03
# DeltaTheta: 1.256637061436e-01
# Tolerance: 1.000000000000e-10
# MaximumIterations: 250000
# Iterations: 24109
# Converged: True
# ResidualNorm: 2.142647492263e-07
# Omega: 1.500000
# UnifiedIndex	RadialIndex	AngularIndex	Radius	Theta	X	Y	Temperature
34	0	34	2.000000000000e-02	4.272566008882e+00	-8.515585831301e-03	-1.809654104932e-02	1.059282361042e+02
35	0	35	2.000000000000e-02	4.398229715026e+00	-6.180339887499e-03	-1.902113032590e-02	1.057764927704e+02
36	0	36	2.000000000000e-02	4.523893421169e+00	-3.747626291714e-03	-1.964574501457e-02	1.056752369291e+02
37	0	37	2.000000000000e-02	4.649557127313e+00	-1.255810390586e-03	-1.996053456857e-02	1.056245838084e+02
38	0	38	2.000000000000e-02	4.775220833456e+00	1.255810390586e-03	-1.996053456857e-02	1.056245838086e+02
39	0	39	2.000000000000e-02	4.900884539600e+00	3.747626291715e-03	-1.964574501457e-02	1.056752369298e+02
40	0	40	2.000000000000e-02	5.026548245744e+00	6.180339887499e-03	-1.902113032590e-02	1.057764927716e+02
41	0	41	2.000000000000e-02	5.152211951887e+00	8.515585831301e-03	-1.809654104932e-02	1.059282361058e+02
42	0	42	2.000000000000e-02	5.277875658031e+00	1.071653589958e-02	-1.688655851004e-02	1.061302558205e+02
43	0	43	2.000000000000e-02	5.403539364174e+00	1.274847979497e-02	-1.541026485552e-02	1.063821927071e+02
44	0	44	2.000000000000e-02	5.529203070318e+00	1.457937254843e-02	-1.369094211857e-02	1.066834590928e+02
45	0	45	2.000000000000e-02	5.654866776462e+00	1.618033988750e-02	-1.175570504585e-02	1.070331210205e+02
46	0	46	2.000000000000e-02	5.780530482605e+00	1.752613360088e-02	-9.635073482034e-03	1.074297324960e+02
47	0	47	2.000000000000e-02	5.906194188749e+00	1.859552971777e-02	-7.362491053694e-03	1.078711133063e+02
48	0	48	2.000000000000e-02	6.031857894892e+00	1.937166322257e-02	-4.973797743297e-03	1.083540705882e+02
49	0	49	2.000000000000e-02	6.157521601036e+00	1.984229402629e-02	-2.506664671286e-03	1.088740840620e+02
50	1	0	2.300000000000e-02	0.000000000000e+00	2.300000000000e-02	0.000000000000e+00	1.094086616895e+02
51	1	1	2.300000000000e-02	1.256637061436e-01	2.281863813023e-02	2.882664371979e-03	1.099894915323e+02
52	1	2	2.300000000000e-02	2.513274122872e-01	2.227741270596e-02	5.719867404792e-03	1.105845895561e+02
53	1	3	2.300000000000e-02	3.769911184308e-01	2.138485917543e-02	8.466864711748e-03	1.111823092202e+02
54	1	4	2.300000000000e-02	5.026548245744e-01	2.015505364101e-02	1.108033450434e-02	1.117698643691e+02
55	1	5	2.300000000000e-02	6.283185307180e-01	1.860739087062e-02	1.351906080273e-02	1.123339608145e+02
56	1	6	2.300000000000e-02	7.539822368616e-01	1.676627843069e-02	1.574458343636e-02	1.128614049781e+02
57	1	7	2.300000000000e-02	8.796459430051e-01	1.466075176422e-02	1.772180458384e-02	1.133396358357e+02
58	1	8	2.300000000000e-02	1.005309649149e+00	1.232401628452e-02	1.941954228655e-02	1.137571656291e+02
59	1	9	2.300000000000e-02	1.130973355292e+00	9.792923705997e-03	2.081102220672e-02	1.141039336023e+02
60	1	10	2.300000000000e-02	1.256637061436e+00	7.107390870624e-03	2.187429987479e-02	1.143715829634e+02
61	1	11	2.300000000000e-02	1.382300767580e+00	4.309770235472e-03	2.259260676676e-02	1.145536711818e+02
62	1	12	2.300000000000e-02	1.507964473723e+00	1.444181949174e-03	2.295461475385e-02	1.146458215617e+02
63	1	13	2.300000000000e-02	1.633628179867e+00	-1.444181949174e-03	2.295461475385e-02	1.146458215619e+02
64	1	14	2.300000000000e-02	1.759291886010e+00	-4.309770235472e-03	2.259260676676e-02	1.145536711825e+02
65	1	15	2.300000000000e-02	1.884955592154e+00	-7.107390870624e-03	2.187429987479e-02	1.143715829645e+02
66	1	16	2.300000000000e-02	2.010619298297e+00	-9.792923705997e-03	2.081102220672e-02	1.141039336039e+02
67	1	17	2.300000000000e-02	2.136283004441e+00	-1.232401628452e-02	1.941954228655e-02	1.137571656312e+02
68	1	18	2.300000000000e-02	2.261946710585e+00	-1.466075176422e-02	1.772180458384e-02	1.133396358383e+02
69	1	19	2.300000000000e-02	2.387610416728e+00	-1.676627843069e-02	1.574458343636e-02	1.128614049812e+02
70	1	20	2.300000000000e-02	2.513274122872e+00	-1.860739087062e-02	1.351906080273e-02	1.123339608180e+02
71	1	21	2.300000000000e-02	2.638937829015e+00	-2.015505364101e-02	1.108033450434e-02	1.117698643730e+02
72	1	22	2.300000000000e-02	2.764601535159e+00	-2.138485917543e-02	8.466864711748e-03	1.111823092246e+02
73	1	23	2.300000000000e-02	2.890265241303e+00	-2.227741270596e-02	5.719867404792e-03	1.105845895611e+02
74	1	24	2.300000000000e-02	3.015928947446e+00	-2.281863813023e-02	2.882664371979e-03	1.099894915377e+02
75	1	25	2.300000000000e-02	3.141592653590e+00	-2.300000000000e-02	-7.397364188513e-18	1.094086616954e+02
76	1	26	2.300000000000e-02	3.267256359733e+00	-2.281863813023e-02	-2.882664371979e-03	1.088520634080e+02
77	1	27	2.300000000000e-02	3.392920065877e+00	-2.227741270596e-02	-5.719867404792e-03	1.083276712228e+02
78	1	28	2.300000000000e-02	3.518583772021e+00	-2.138485917543e-02	-8.466864711748e-03	1.078414936282e+02
79	1	29	2.300000000000e-02	3.644247478164e+00	-2.015505364101e-02	-1.108033450434e-02	1.073978381762e+02
80	1	30	2.300000000000e-02	3.769911184308e+00	-1.860739087062e-02	-1.351906080273e-02	1.069996734855e+02
81	1	31	2.300000000000e-02	3.895574890451e+00	-1.676627843069e-02	-1.574458343636e-02	1.066489814109e+02
82	1	32	2.300000000000e-02	4.021238596595e+00	-1.466075176422e-02	-1.772180458384e-02	1.063470496611e+02
83	1	33	2.300000000000e-02	4.146902302739e+00	-1.232401628452e-02	-1.941954228655e-02	1.060946941083e+02
84	1	34	2.300000000000e-02	4.272566008882e+00	-9.792923705997e-03	-2.081102220672e-02	1.058924184887e+02
85	1	35	2.300000000000e-02	4.398229715026e+00	-7.107390870624e-03	-2.187429987479e-02	1.057405247557e+02
86	1	36	2.300000000000e-02	4.523893421169e+00	-4.309770235472e-03	-2.259260676676e-02	1.056391868240e+02
87	1	37	2.300000000000e-02	4.649557127313e+00	-1.444181949174e-03	-2.295461475385e-02	1.055884977975e+02
88	1	38	2.300000000000e-02	4.775220833456e+00	1.444181949174e-03	-2.295461475385e-02	1.055884977977e+02
89	1	39	2.300000000000e-02	4.900884539600e+00	4.309770235472e-03	-2.259260676676e-02	1.056391868247e+02
90	1	40	2.300000000000e-02	5.026548245744e+00	7.107390870624e-03	-2.187429987479e-02	1.057405247569e+02
91	1	41	2.300000000000e-02	5.152211951887e+00	9.792923705997e-03	-2.081102220672e-02	1.058924184904e+02
92	1	42	2.300000000000e-02	5.277875658031e+00	1.232401628452e-02	-1.941954228655e-02	1.060946941104e+02
93	1	43	2.300000000000e-02	5.403539364174e+00	1.466075176422e-02	-1.772180458384e-02	1.063470496637e+02
94	1	44	2.300000000000e-02	5.529203070318e+00	1.676627843069e-02	-1.574458343636e-02	1.066489814140e+02
95	1	45	2.300000000000e-02	5.654866776462e+00	1.860739087062e-02	-1.351906080273e-02	1.069996734890e+02
96	1	46	2.300000000000e-02	5.780530482605e+00	2.015505364101e-02	-1.108033450434e-02	1.073978381801e+02
97	1	47	2.300000000000e-02	5.906194188749e+00	2.138485917543e-02	-8.466864711748e-03	1.078414936327e+02
98	1	48	2.300000000000e-02	6.031857894892e+00	2.227741270596e-02	-5.719867404792e-03	1.083276712277e+02
99	1	49	2.300000000000e-02	6.157521601036e+00	2.281863813023e-02	-2.882664371979e-03	1.088520634134e+02
100	2	0	2.600000000000e-02	0.000000000000e+00	2.600000000000e-02	0.000000000000e+00	1.093698093583e+02
101	2	1	2.600000000000e-02	1.256637061436e-01	2.579498223418e-02	3.258664072672e-03	1.099668260987e+02
102	2	2	2.600000000000e-02	2.513274122872e-01	2.518316218934e-02	6.465937066286e-03	1.105807759931e+02
103	2	3	2.600000000000e-02	3.769911184308e-01	2.417418863309e-02	9.571238369802e-03	1.111991696752e+02
104	2	4	2.600000000000e-02	5.026548245744e-01	2.278397368114e-02	1.252559552664e-02	1.118082288573e+02
105	2	5	2.600000000000e-02	6.283185307180e-01	2.103444185375e-02	1.528241655960e-02	1.123936884145e+02
106	2	6	2.600000000000e-02	7.539822368616e-01	1.895318431296e-02	1.779822475415e-02	1.129414947238e+02
107	2	7	2.600000000000e-02	8.796459430051e-01	1.657302373347e-02	2.003334431217e-02	1.134383670913e+02
108	2	8	2.600000000000e-02	1.005309649149e+00	1.393149666945e-02	2.195252606305e-02	1.138722363999e+02
109	2	9	2.600000000000e-02	1.130973355292e+00	1.107026158069e-02	2.352550336412e-02	1.142325851098e+02
110	2	10	2.600000000000e-02	1.256637061436e+00	8.034441853749e-03	2.472746942367e-02	1.145107090643e+02
111	2	11	2.600000000000e-02	1.382300767580e+00	4.871914179229e-03	2.553946851895e-02	1.146999152775e+02
112	2	12	2.600000000000e-02	1.507964473723e+00	1.632553507762e-03	2.594869493914e-02	1.147956646159e+02
113	2	13	2.600000000000e-02	1.633628179867e+00	-1.632553507762e-03	2.594869493914e-02	1.147956646161e+02
114	2	14	2.600000000000e-02	1.759291886010e+00	-4.871914179229e-03	2.553946851895e-02	1.146999152782e+02
115	2	15	2.600000000000e-02	1.884955592154e+00	-8.034441853749e-03	2.472746942367e-02	1.145107090655e+02
116	2	16	2.600000000000e-02	2.010619298297e+00	-1.107026158069e-02	2.352550336412e-02	1.142325851114e+02
117	2	17	2.600000000000e-02	2.136283004441e+00	-1.393149666945e-02	2.195252606305e-02	1.138722364020e+02
118	2	18	2.600000000000e-02	2.261946710585e+00	-1.657302373347e-02	2.003334431217e-02	1.134383670939e+02
119	2	19	2.600000000000e-02	2.387610416728e+00	-1.895318431296e-02	1.779822475415e-02	1.129414947268e+02
120	2	20	2.600000000000e-02	2.513274122872e+00	-2.103444185375e-02	1.528241655960e-02	1.123936884180e+02
121	2	21	2.600000000000e-02	2.638937829015e+00	-2.278397368114e-02	1.252559552664e-02	1.118082288613e+02
122	2	22	2.600000000000e-02	2.764601535159e+00	-2.417418863309e-02	9.571238369802e-03	1.111991696796e+02
123	2	23	2.600000000000e-02	2.890265241303e+00	-2.518316218934e-02	6.465937066286e-03	1.105807759980e+02
124	2	24	2.600000000000e-02	3.015928947446e+00	-2.579498223418e-02	3.258664072672e-03	1.099668261040e+02
125	2	25	2.600000000000e-02	3.141592653590e+00	-2.600000000000e-02	-8.362237778319e-18	1.093698093641e+02
126	2	26	2.600000000000e-02	3.267256359733e+00	-2.579498223418e-02	-3.258664072672e-03	1.088001654787e+02
127	2	27	2.600000000000e-02	3.392920065877e+00	-2.518316218934e-02	-6.465937066286e-03	1.082658536823e+02
128	2	28	2.600000000000e-02	3.518583772021e+00	-2.417418863309e-02	-9.571238369802e-03	1.077724933813e+02
129	2	29	2.600000000000e-02	3.644247478164e+00	-2.278397368114e-02	-1.252559552664e-02	1.073238393126e+02
130	2	30	2.600000000000e-02	3.769911184308e+00	-2.103444185375e-02	-1.528241655960e-02	1.069223071211e+02
131	2	31	2.600000000000e-02	3.895574890451e+00	-1.895318431296e-02	-1.779822475415e-02	1.065694086332e+02
132	2	32	2.600000000000e-02	4.021238596595e+00	-1.657302373347e-02	-2.003334431217e-02	1.062660678077e+02
133	2	33	2.600000000000e-02	4.146902302739e+00	-1.393149666945e-02	-2.195252606305e-02	1.060128353677e+02
134	2	34	2.600000000000e-02	4.272566008882e+00	-1.107026158069e-02	-2.352550336412e-02	1.058100297783e+02
135	2	35	2.600000000000e-02	4.398229715026e+00	-8.034441853749e-03	-2.472746942367e-02	1.056578281626e+02
136	2	36	2.600000000000e-02	4.523893421169e+00	-4.871914179229e-03	-2.553946851895e-02	1.055563240259e+02
137	2	37	2.600000000000e-02	4.649557127313e+00	-1.632553507762e-03	-2.594869493914e-02	1.055055629106e+02
138	2	38	2.600000000000e-02	4.775220833456e+00	1.632553507762e-03	-2.594869493914e-02	1.055055629109e+02
139	2	39	2.600000000000e-02	4.900884539600e+00	4.871914179229e-03	-2.553946851895e-02	1.055563240266e+02
140	2	40	2.600000000000e-02	5.026548245744e+00	8.034441853749e-03	-2.472746942367e-02	1.056578281637e+02
141	2	41	2.600000000000e-02	5.152211951887e+00	1.107026158069e-02	-2.352550336412e-02	1.058100297799e+02
142	2	42	2.600000000000e-02	5.277875658031e+00	1.393149666945e-02	-2.195252606305e-02	1.060128353698e+02
143	2	43	2.600000000000e-02	5.403539364174e+00	1.657302373347e-02	-2.003334431217e-02	1.062660678103e+02
144	2	44	2.600000000000e-02	5.529203070318e+00	1.895318431296e-02	-1.779822475415e-02	1.065694086362e+02
145	2	45	2.600000000000e-02	5.654866776462e+00	2.103444185375e-02	-1.528241655960e-02	1.069223071246e+02
146	2	46	2.600000000000e-02	5.780530482605e+00	2.278397368114e-02	-1.252559552664e-02	1.073238393166e+02
147	2	47	2.600000000000e-02	5.906194188749e+00	2.417418863309e-02	-9.571238369802e-03	1.077724933857e+02
148	2	48	2.600000000000e-02	6.031857894892e+00	2.518316218934e-02	-6.465937066286e-03	1.082658536872e+02
149	2	49	2.600000000000e-02	6.157521601036e+00	2.579498223418e-02	-3.258664072672e-03	1.088001654840e+02
150	3	0	2.900000000000e-02	0.000000000000e+00	2.900000000000e-02	0.000000000000e+00	1.093133763709e+02
151	3	1	2.900000000000e-02	1.256637061436e-01	2.877132633812e-02	3.634663773365e-03	1.099331357259e+02
152	3	2	2.900000000000e-02	2.513274122872e-01	2.808891167273e-02	7.212006727781e-03	1.105738362874e+02
153	3	3	2.900000000000e-02	3.769911184308e-01	2.696351809076e-02	1.067561202786e-02	1.112216314124e+02
154	3	4	2.900000000000e-02	5.026548245744e-01	2.541289372127e-02	1.397085654895e-02	1.118612195673e+02
155	3	5	2.900000000000e-02	6.283185307180e-01	2.346149283687e-02	1.704577231648e-02	1.124769139593e+02
156	3	6	2.900000000000e-02	7.539822368616e-01	2.114009019522e-02	1.985186607193e-02	1.130534472261e+02
157	3	7	2.900000000000e-02	8.796459430051e-01	1.848529570271e-02	2.234488404050e-02	1.135765478646e+02
158	3	8	2.900000000000e-02	1.005309649149e+00	1.553897705439e-02	2.448550983956e-02	1.140333578029e+02
159	3	9	2.900000000000e-02	1.130973355292e+00	1.234759945539e-02	2.623998452151e-02	1.144127438605e+02
160	3	10	2.900000000000e-02	1.256637061436e+00	8.961492836873e-03	2.758063897256e-02	1.147055347529e+02
161	3	11	2.900000000000e-02	1.382300767580e+00	5.434058122986e-03	2.848633027113e-02	1.149047006285e+02
162	3	12	2.900000000000e-02	1.507964473723e+00	1.820925066350e-03	2.894277512442e-02	1.150054836506e+02
163	3	13	2.900000000000e-02	1.633628179867e+00	-1.820925066350e-03	2.894277512442e-02	1.150054836508e+02
164	3	14	2.900000000000e-02	1.759291886010e+00	-5.434058122986e-03	2.848633027113e-02	1.149047006292e+02
165	3	15	2.900000000000e-02	1.884955592154e+00	-8.961492836873e-03	2.758063897256e-02	1.147055347541e+02
166	3	16	2.900000000000e-02	2.010619298297e+00	-1.234759945539e-02	2.623998452151e-02	1.144127438621e+02
167	3	17	2.900000000000e-02	2.136283004441e+00	-1.553897705439e-02	2.448550983956e-02	1.140333578050e+02
168	3	18	2.900000000000e-02	2.261946710585e+00	-1.848529570271e-02	2.234488404050e-02	1.135765478672e+02
169	3	19	2.900000000000e-02	2.387610416728e+00	-2.114009019522e-02	1.985186607193e-02	1.130534472291e+02
170	3	20	2.900000000000e-02	2.513274122872e+00	-2.346149283687e-02	1.704577231648e-02	1.124769139628e+02
171	3	21	2.900000000000e-02	2.638937829015e+00	-2.541289372127e-02	1.397085654895e-02	1.118612195713e+02
172	3	22	2.900000000000e-02	2.764601535159e+00	-2.696351809076e-02	1.067561202786e-02	1.112216314169e+02
173	3	23	2.900000000000e-02	2.890265241303e+00	-2.808891167273e-02	7.212006727781e-03	1.105738362923e+02
174	3	24	2.900000000000e-02	3.015928947446e+00	-2.877132633812e-02	3.634663773365e-03	1.099331357313e+02
175	3	25	2.900000000000e-02	3.141592653590e+00	-2.900000000000e-02	-9.327111368124e-18	1.093133763767e+02
176	3	26	2.900000000000e-02	3.267256359733e+00	-2.877132633812e-02	-3.634663773365e-03	1.087257656859e+02
177	3	27	2.900000000000e-02	3.392920065877e+00	-2.808891167273e-02	-7.212006727781e-03	1.081781371485e+02
178	3	28	2.900000000000e-02	3.518583772021e+00	-2.696351809076e-02	-1.067561202786e-02	1.076753847811e+02
179	3	29	2.900000000000e-02	3.644247478164e+00	-2.541289372127e-02	-1.397085654895e-02	1.072203518716e+02
180	3	30	2.900000000000e-02	3.769911184308e+00	-2.346149283687e-02	-1.704577231648e-02	1.068146144551e+02
181	3	31	2.900000000000e-02	3.895574890451e+00	-2.114009019522e-02	-1.985186607193e-02	1.064590137592e+02
182	3	32	2.900000000000e-02	4.021238596595e+00	-1.848529570271e-02	-2.234488404050e-02	1.061539785902e+02
183	3	33	2.900000000000e-02	4.146902302739e+00	-1.553897705439e-02	-2.448550983956e-02	1.058997110726e+02
184	3	34	2.900000000000e-02	4.272566008882e+00	-1.234759945539e-02	-2.623998452151e-02	1.056962921421e+02
185	3	35	2.900000000000e-02	4.398229715026e+00	-8.961492836873e-03	-2.758063897256e-02	1.055437416971e+02
186	3	36	2.900000000000e-02	4.523893421169e+00	-5.434058122986e-03	-2.848633027113e-02	1.054420531848e+02
187	3	37	2.900000000000e-02	4.649557127313e+00	-1.820925066350e-03	-2.894277512442e-02	1.053912134220e+02
188	3	38	2.900000000000e-02	4.775220833456e+00	1.820925066350e-03	-2.894277512442e-02	1.053912134222e+02
189	3	39	2.900000000000e-02	4.900884539600e+00	5.434058122986e-03	-2.848633027113e-02	1.054420531855e+02
190	3	40	2.900000000000e-02	5.026548245744e+00	8.961492836873e-03	-2.758063897256e-02	1.055437416982e+02
191	3	41	2.900000000000e-02	5.152211951887e+00	1.234759945539e-02	-2.623998452151e-02	1.056962921437e+02
192	3	42	2.900000000000e-02	5.277875658031e+00	1.553897705439e-02	-2.448550983956e-02	1.058997110747e+02
193	3	43	2.900000000000e-02	5.403539364174e+00	1.848529570271e-02	-2.234488404050e-02	1.061539785928e+02
194	3	44	2.900000000000e-02	5.529203070318e+00	2.114009019522e-02	-1.985186607193e-02	1.064590137623e+02
195	3	45	2.900000000000e-02	5.654866776462e+00	2.346149283687e-02	-1.704577231648e-02	1.068146144586e+02
196	3	46	2.900000000000e-02	5.780530482605e+00	2.541289372127e-02	-1.397085654895e-02	1.072203518756e+02
197	3	47	2.900000000000e-02	5.906194188749e+00	2.696351809076e-02	-1.067561202786e-02	1.076753847856e+02
198	3	48	2.900000000000e-02	6.031857894892e+00	2.808891167273e-02	-7.212006727781e-03	1.081781371534e+02
199	3	49	2.900000000000e-02	6.157521601036e+00	2.877132633812e-02	-3.634663773365e-03	1.087257656913e+02
200	4	0	3.200000000000e-02	0.000000000000e+00	3.200000000000e-02	0.000000000000e+00	1.092417790359e+02
201	4	1	3.200000000000e-02	1.256637061436e-01	3.174767044206e-02	4.010663474058e-03	1.098892656040e+02
202	4	2	3.200000000000e-02	2.513274122872e-01	3.099466115612e-02	7.958076389275e-03	1.105630077678e+02
203	4	3	3.200000000000e-02	3.769911184308e-01	2.975284754842e-02	1.177998568591e-02	1.112471720043e+02
204	4	4	3.200000000000e-02	5.026548245744e-01	2.804181376140e-02	1.541611757125e-02	1.119243941396e+02
205	4	5	3.200000000000e-02	6.283185307180e-01	2.588854382000e-02	1.880912807336e-02	1.125771870435e+02
206	4	6	3.200000000000e-02	7.539822368616e-01	2.332699607749e-02	2.190550738972e-02	1.131888175743e+02
207	4	7	3.200000000000e-02	8.796459430051e-01	2.039756767196e-02	2.465642376883e-02	1.137438518119e+02
208	4	8	3.200000000000e-02	1.005309649149e+00	1.714645743933e-02	2.701849361606e-02	1.142285196406e+02
209	4	9	3.200000000000e-02	1.130973355292e+00	1.362493733008e-02	2.895446567891e-02	1.146309800796e+02
210	4	10	3.200000000000e-02	1.256637061436e+00	9.888543819998e-03	3.043380852144e-02	1.149415249775e+02
211	4	11	3.200000000000e-02	1.382300767580e+00	5.996202066743e-03	3.143319202332e-02	1.151527366107e+02
212	4	12	3.200000000000e-02	1.507964473723e+00	2.009296624938e-03	3.193685530970e-02	1.152596047596e+02
213	4	13	3.200000000000e-02	1.633628179867e+00	-2.009296624938e-03	3.193685530970e-02	1.152596047598e+02
214	4	14	3.200000000000e-02	1.759291886010e+00	-5.996202066743e-03	3.143319202332e-02	1.151527366114e+02
215	4	15	3.200000000000e-02	1.884955592154e+00	-9.888543819998e-03	3.043380852144e-02	1.149415249787e+02
216	4	16	3.200000000000e-02	2.010619298297e+00	-1.362493733008e-02	2.895446567891e-02	1.146309800812e+02
217	4	17	3.200000000000e-02	2.136283004441e+00	-1.714645743933e-02	2.701849361606e-02	1.142285196427e+02
218	4	18	3.200000000000e-02	2.261946710585e+00	-2.039756767196e-02	2.465642376883e-02	1.137438518145e+02
219	4	19	3.200000000000e-02	2.387610416728e+00	-2.332699607749e-02	2.190550738972e-02	1.131888175773e+02
220	4	20	3.200000000000e-02	2.513274122872e+00	-2.588854382000e-02	1.880912807336e-02	1.125771870470e+02
221	4	21	3.200000000000e-02	2.638937829015e+00	-2.804181376140e-02	1.541611757125e-02	1.119243941436e+02
222	4	22	3.200000000000e-02	2.764601535159e+00	-2.975284754842e-02	1.177998568591e-02	1.112471720087e+02
223	4	23	3.200000000000e-02	2.890265241303e+00	-3.099466115612e-02	7.958076389275e-03	1.105630077727e+02
224	4	24	3.200000000000e-02	3.015928947446e+00	-3.174767044206e-02	4.010663474058e-03	1.098892656094e+02
225	4	25	3.200000000000e-02	3.141592653590e+00	-3.200000000000e-02	-1.029198495793e-17	1.092417790418e+02
226	4	26	3.200000000000e-02	3.267256359733e+00	-3.174767044206e-02	-4.010663474058e-03	1.086329212273e+02
227	4	27	3.200000000000e-02	3.392920065877e+00	-3.099466115612e-02	-7.958076389275e-03	1.080701323099e+02
228	4	28	3.200000000000e-02	3.518583772021e+00	-2.975284754842e-02	-1.177998568591e-02	1.075570796004e+02
229	4	29	3.200000000000e-02	3.644247478164e+00	-2.804181376140e-02	-1.541611757125e-02	1.070952797515e+02
230	4	30	3.200000000000e-02	3.769911184308e+00	-2.588854382000e-02	-1.880912807336e-02	1.066852086898e+02
231	4	31	3.200000000000e-02	3.895574890451e+00	-2.332699607749e-02	-2.190550738972e-02	1.063268952735e+02
232	4	32	3.200000000000e-02	4.021238596595e+00	-2.039756767196e-02	-2.465642376883e-02	1.060202021780e+02
233	4	33	3.200000000000e-02	4.146902302739e+00	-1.714645743933e-02	-2.701849361606e-02	1.057649492422e+02
234	4	34	3.200000000000e-02	4.272566008882e+00	-1.362493733008e-02	-2.895446567891e-02	1.055609644778e+02
235	4	35	3.200000000000e-02	4.398229715026e+00	-9.888543819998e-03	-3.043380852144e-02	1.054081037367e+02
236	4	36	3.200000000000e-02	4.523893421169e+00	-5.996202066743e-03	-3.143319202332e-02	1.053062574789e+02
237	4	37	3.200000000000e-02	4.649557127313e+00	-2.009296624938e-03	-3.193685530970e-02	1.052553525948e+02
